Experiment,Reference,Apparatus,Pressure_kbar,Pressure_error,Temperature_degC,Phases,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,Cr2O3,Total,Alk Line,Sub line,Alkalinity (S),Alkalinity (A),alk,KB08
KN-54-2-2-1,Grove1992,1atm_furnace,0.001,0.00001,1161,gl-ol-cp-pl,51.9,2.38,13.6,11.3,0.23,6.06,10.4,3.27,0.34,,,0.06,99.54,7.72,4.9336,1.3236,4.11,3.61,3.4945
ALV-1690-20,Grove1992,zhm_ar,2,0.02,1163,gl-ol-cp-pl,49.8,2.35,13.6,12.2,0.25,6.7,10.5,3.23,0.19,0.32,,0,99.14,6.04,3.8542,0.4342,2.62,3.42,2.77
ALV-1690-20,Grove1992,zhm_ar,2,0.02,1152,gl-ol-cp-pl,50,2.47,13.7,11.7,0.19,6.6,10.5,3.36,0.22,0.36,,0,99.1,6.2,3.957,0.377,2.62,3.58,3.1305
ALV-1690-20,Grove1992,zhm_ar,2,0.02,1148,gl-ol-cp-pl,49.8,2.3,13.7,12,0.22,6.68,10.7,3.18,0.19,0.32,,0,99.09,6.04,3.8542,0.4842,2.67,3.37,3.4805
ALV-1690-20,Grove1992,zhm_ar,2,0.02,1145,gl-ol-cp-pl,49.8,3.32,12.9,12.9,0.27,6.08,9.86,3.11,0.25,0.43,,0,98.92,6.04,3.8542,0.4942,2.68,3.36,4.4773
ALV-1690-20,Grove1992,zhm_ar,2,0.02,1126,gl-ol-cp-pl,49,3.7,12.5,13.6,0.25,5.91,9.66,3.29,0.28,0.53,,0,98.72,5.4,3.443,-0.127,1.83,3.57,4.9867
AII-96-18-1,Grove1992,Piston Cylinder,8,0.5,1240,gl-ol-cp-pl,50.2,1.4,15.8,9.48,0.14,8.01,10.6,3.13,0.12,0.15,,0.05,99.08,6.36,4.0598,0.8098,3.11,3.25,8.2161
AII-96-18-1,Grove1992,Piston Cylinder,8,0.5,1230,gl-ol-cp-pl,49.1,1.82,15.6,11.2,0.19,7.64,9.77,3.57,0.14,0.13,,0.03,99.19,5.48,3.4944,-0.2156,1.77,3.71,7.8417
AII-96-18-1,Grove1992,Piston Cylinder,8,0.5,1215,gl-ol-cp-pl,48.7,1.9,15.3,11.5,0.09,7.27,9.62,3.61,0.15,0.13,,0.08,98.35,5.16,3.2888,-0.4712,1.4,3.76,7.3128
ALV-528-1-1,Grove1992,Piston Cylinder,8,0.5,1265,gl-ol-cp-pl,49,0.9,16.3,9.79,0.13,9.12,11.5,2.33,0.11,0.06,,0.11,99.35,5.4,3.443,1.003,2.96,2.44,5.1168
ALV-528-1-1,Grove1992,Piston Cylinder,8,0.5,1250,gl-ol-cp-pl,49.3,0.89,15.9,10.1,0.15,8.46,11.9,2.23,0.12,,,0.08,99.13,5.64,3.5972,1.2472,3.29,2.35,6.9571
ALV-528-1-1,Grove1992,Piston Cylinder,8,0.5,1235,gl-ol-cp-pl,49.2,1.02,15.6,11.1,0.27,8.32,11.6,2.28,0.14,0.16,,0.11,99.8,5.56,3.5458,1.1258,3.14,2.42,9.0437
ALV-528-1-1,Grove1992,Piston Cylinder,8,0.5,1225,gl-ol-cp-pl,48.9,1.72,15.4,11.9,0.22,7.88,10.4,3.12,0.16,0.26,,0.08,100.04,5.32,3.3916,0.1116,2.04,3.28,4.8156
70-002,Grove1992,Piston Cylinder,8,0.5,1240,gl-ol-cp-pl,49.2,1.11,16,8.63,0.05,9.5,11.8,2.61,0.08,0.08,,0.11,99.17,5.56,3.5458,0.8558,2.87,2.69,7.2269
70-002,Grove1992,Piston Cylinder,8,0.5,1225,gl-ol-cp-pl,48.9,2.8,14.5,11.6,0.3,7.9,10.2,3.39,0.27,0.37,,0.08,100.31,5.32,3.3916,-0.2684,1.66,3.66,8.6869
70-002,Grove1992,Piston Cylinder,8,0.5,1210,gl-ol-cp-pl,49,3.06,14,14.1,0.23,6.47,9.58,3.22,0.26,0.4,,0.06,100.38,5.4,3.443,-0.037,1.92,3.48,9.4815
ALV-2004-3-1+10Ol,Grove1992,Piston Cylinder,10,0.5,1250,gl-ol-cp-pl,48.7,1.21,17.2,8.99,0.25,8.1,10,3.84,0.13,0.13,,0,98.55,5.16,3.2888,-0.6812,1.19,3.97,11.5976
ALV-2004-3-1+10Ol,Grove1992,Piston Cylinder,10,0.5,1235,gl-ol-cp-pl,48.6,1.59,17.2,10.2,0.15,8.52,10.2,3.19,0.16,0.16,,0.06,100.03,5.08,3.2374,-0.1126,1.73,3.35,-0.2989
AII-96-18-1,Tormey1987,1atm_furnace,0.001,0.00001,1171,gl-ol-cp-pl,50.4,2.15,13.5,11.2,0.24,6.73,11.1,3.27,0.17,,,0.02,98.78,6.52,4.1626,0.7226,3.08,3.44,0.8257
AII-96-18-1,Tormey1987,1atm_furnace,0.001,0.00001,1153,gl-ol-cp-pl,50.9,2.62,12.5,13.1,0.25,6.01,10.4,2.97,0.18,0.24,,0.03,99.2,6.92,4.4196,1.2696,3.77,3.15,1.0623
AII-96-18-1,Tormey1987,1atm_furnace,0.001,0.00001,1152,gl-ol-cp-pl,50.2,2.71,13,12.6,0.39,6.17,10.3,3.5,0.22,,,0.03,99.12,6.36,4.0598,0.3398,2.64,3.72,-0.0909
AII-78-3-102,Tormey1987,1atm_furnace,0.001,0.00001,1163,gl-ol-cp-pl,51.3,2.21,13.1,11.8,0.22,6.82,11.1,3.27,0.19,0.22,,0.03,100.26,7.24,4.6252,1.1652,3.78,3.46,2.3342
AII-78-3-102,Tormey1987,1atm_furnace,0.001,0.00001,1161,gl-ol-cp-pl,48.8,2.22,13.8,12.5,0.26,6.35,11.3,3.74,0.19,,,0.06,99.22,5.24,3.3402,-0.5898,1.31,3.93,-0.6303
AT-112,BakerEggler1987,1atm_furnace,0.001,0.00001,1100,gl-ol-cp-pl,52.3,3.27,12.3,13.7,0.34,3.83,8.61,2.15,1.46,0.46,,,98.42,8.04,5.1392,1.5292,4.43,3.61,0.4494
AT-112,BakerEggler1987,1atm_furnace,0.001,0.00001,1122,gl-ol-cp-pl,51.4,2.12,13,13.5,0.39,4.55,9.5,2.65,1.23,0.35,,,98.69,7.32,4.6766,0.7966,3.44,3.88,8.337
AT-1+Mix,BakerEggler1987,Piston Cylinder,8,0.5,1250,gl-ol-cp-pl,48.7,0.69,17.2,9.96,0.09,8.51,11.6,2.63,0.44,0.12,,,99.03,5.16,3.2888,0.2188,2.09,3.07,7.4588
AT-1+Mix,BakerEggler1987,Piston Cylinder,8,0.5,1200,gl-ol-cp-pl,48.2,0.98,16.7,9.83,0.17,8.13,11.8,2.64,0.42,0.23,,,99.1,4.76,3.0318,-0.0282,1.7,3.06,7.0575
AT-1+Mix,BakerEggler1987,Piston Cylinder,8,0.5,1200,gl-ol-cp-pl,47.8,1.21,15.9,11.3,0.25,7.17,11.5,2.77,0.55,0.19,,,98.64,4.44,2.8262,-0.4938,1.12,3.32,8.8639
M-46+Mix,BakerEggler1987,Piston Cylinder,8,0.5,1200,gl-ol-cp-pl,48.4,1.16,15.6,12.7,0.3,7.25,10.8,2.65,0.54,0.16,,,99.56,4.92,3.1346,-0.0554,1.73,3.19,-0.2153
29/02/2000,Yang1996,1atm_furnace,0.001,0.00001,1170,gl-ol-cp-pl,50.8,2.17,13.5,11,0.27,7.08,11.5,2.52,0.17,0.11,,,99.12,6.84,4.3682,1.6782,4.15,2.69,1.9867
29/02/2000,Yang1996,1atm_furnace,0.001,0.00001,1152,gl-ol-cp-pl,50.4,3.33,12.5,12.9,0.22,6.22,10.4,2.51,0.25,0.48,,,99.21,6.52,4.1626,1.4026,3.76,2.76,2.269
29/02/2000,Yang1996,1atm_furnace,0.001,0.00001,1134,gl-ol-cp-pl,50,4.14,12.1,13.4,0.23,5.75,10,2.55,0.28,0.54,,,98.99,6.2,3.957,1.127,3.37,2.83,0.6579
70-002,Yang1996,1atm_furnace,0.001,0.00001,1152,gl-ol-cp-pl,50.1,2.52,13.4,11.9,0.16,6.3,10.8,3.31,0.38,0.19,,,99.06,6.28,4.0084,0.3184,2.59,3.69,1.0325
70-002,Yang1996,1atm_furnace,0.001,0.00001,1140,gl-ol-cp-pl,50.3,2.8,13.2,12.2,0.28,5.9,10.3,3.25,0.45,0.25,,,98.93,6.44,4.1112,0.4112,2.74,3.7,3.0144
70-002,Yang1996,1atm_furnace,0.001,0.00001,1128,gl-ol-cp-pl,49.2,4.17,12,14.3,0.3,5.51,9.9,2.68,0.32,0.37,,,98.75,5.56,3.5458,0.5458,2.56,3,1.2642
67-032,Yang1996,1atm_furnace,0.001,0.00001,1171,gl-ol-cp-pl,50.4,2.1,13.5,11.7,0.22,7.05,11.5,2.66,0.17,0.26,,,99.56,6.52,4.1626,1.3326,3.69,2.83,1.5934
67-032,Yang1996,1atm_furnace,0.001,0.00001,1140,gl-ol-cp-pl,50.4,2.62,13,13,0.27,5.85,10.4,3.16,0.29,0.23,,,99.22,6.52,4.1626,0.7126,3.07,3.45,1.9216
67-032,Yang1996,1atm_furnace,0.001,0.00001,1128,gl-ol-cp-pl,49.8,3.56,12.6,13.4,0.31,5.31,9.7,3.38,0.57,0.34,,,98.97,6.04,3.8542,-0.0958,2.09,3.95,1.5511
67-032,Yang1996,1atm_furnace,0.001,0.00001,1110,gl-ol-cp-pl,49.8,4.92,11.7,14.2,0.21,4.7,8.88,3.32,0.68,0.45,,,98.86,6.04,3.8542,-0.1458,2.04,4,1.3157
64-002,Yang1996,1atm_furnace,0.001,0.00001,1160,gl-ol-cp-pl,50.2,2.3,13.4,11.9,0.22,6.76,11.2,3.03,0.22,0.26,,,99.49,6.36,4.0598,0.8098,3.11,3.25,2.2299
64-002,Yang1996,1atm_furnace,0.001,0.00001,1128,gl-ol-cp-pl,49.3,3.92,11.8,14,0.28,5.43,9.59,2.93,0.35,0.36,,,97.96,5.64,3.5972,0.3172,2.36,3.28,3.613
64-002,Yang1996,1atm_furnace,0.001,0.00001,1110,gl-ol-cp-pl,48.4,5.28,11.2,15.4,0.23,4.99,9.4,2.76,0.43,0.49,,,98.58,4.92,3.1346,-0.0554,1.73,3.19,1.0992
61-002,Yang1996,1atm_furnace,0.001,0.00001,1160,gl-ol-cp-pl,50.4,2.27,13.3,11.9,0.23,6.71,11.2,2.73,0.19,0.26,,,99.19,6.52,4.1626,1.2426,3.6,2.92,1.8521
61-002,Yang1996,1atm_furnace,0.001,0.00001,1140,gl-ol-cp-pl,50,2.98,12.8,13.1,0.28,6.06,10.5,2.91,0.31,0.26,,,99.2,6.2,3.957,0.737,2.98,3.22,2.4436
61-002,Yang1996,1atm_furnace,0.001,0.00001,1128,gl-ol-cp-pl,49.8,3.33,12.2,14.3,0.25,5.29,9.73,3.08,0.37,0.32,,,98.67,6.04,3.8542,0.4042,2.59,3.45,3.679
61-002,Yang1996,1atm_furnace,0.001,0.00001,1110,gl-ol-cp-pl,49.2,4.33,11.4,15.8,0.26,4.74,9.16,3.02,0.43,0.44,,,98.78,5.56,3.5458,0.0958,2.11,3.45,-0.7278
RE-46,Yang1996,1atm_furnace,0.001,0.00001,1198,gl-ol-cp-pl,51.2,0.8,14,10.1,0.19,8.81,13.4,1.46,0.03,0.11,,,100.1,7.16,4.5738,3.0838,5.67,1.49,0.3387
RE-46,Yang1996,1atm_furnace,0.001,0.00001,1170,gl-ol-cp-pl,52,1.15,13.3,12.2,0.22,7.31,12,1.61,0.02,0.14,,,99.95,7.8,4.985,3.355,6.17,1.63,0.2917
RE-46,Yang1996,1atm_furnace,0.001,0.00001,1179,gl-ol-cp-pl,51.3,0.85,14,11,0.21,8,12.7,1.8,0.04,0.12,,,100.02,7.24,4.6252,2.7852,5.4,1.84,-1.4485
RE-46,Yang1996,1atm_furnace,0.001,0.5,1202,gl-ol-cp-pl,50.5,0.68,14.1,9.57,0.14,9.04,14.1,1.58,0.03,0.12,,,99.86,6.6,4.214,2.604,4.99,1.61,1.804
Fe,ToplisCarroll1995,1atm_furnace,0.001,0.00001,1130,gl-ol-cp-pl,48.17,4.2,11.8,15.73,,5.17,10.56,2.57,0.55,,,,98.75,4.736,3.01638,-0.10362,1.616,3.12,0.2467
Fe,ToplisCarroll1995,1atm_furnace,0.001,0.00001,1125,gl-ol-cp-pl,49,4.1,11.82,15.18,,5.18,10.9,2.6,0.47,,,,99.25,5.4,3.443,0.373,2.33,3.07,0.5807
Fe,ToplisCarroll1995,1atm_furnace,0.001,0.00001,1125,gl-ol-cp-pl,48.6,4.35,11.82,15.06,,5.03,10.6,2.63,0.47,,,,98.56,5.08,3.2374,0.1374,1.98,3.1,1.3275
Fe,ToplisCarroll1995,1atm_furnace,0.001,0.00001,1115,gl-ol-cp-pl,49,4.62,11.68,15.74,,4.69,9.71,2.79,0.58,,,,98.81,5.4,3.443,0.073,2.03,3.37,3.248
