Experiment,Reference,Apparatus,Pressure_kbar,Pressure_error,Temperature_degC,Phases,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,Cr2O3,Total,Alk Line,Sub line,Alkalinity (S),Alkalinity (A),alk,KB08
ICPP123-260,Whitaker2007,Piston Cylinder,9.3,0.5,1180,gl-ol-cp-pl-sp,41.88,4.57,14.62,15.13,0.25,5.45,8.14,3.02,1.35,1.27,0.34,,96.02,-0.296,-0.21668,-4.58668,-4.666,4.37,8.798
ICPP123-260,Whitaker2007,Piston Cylinder,6.8,0.5,1200,gl-ol-cp-pl,47.32,2.35,15.17,12.14,0.19,6.81,10.43,2.61,0.66,0.42,0.1,,98.2,4.056,2.57948,-0.69052,0.786,3.27,8.1637
ICPP123-260,Whitaker2007,Piston Cylinder,6.8,0.5,1180,gl-ol-cp-pl,46.68,2.76,14.2,13.14,0.21,6.1,9.99,2.74,0.96,0.51,0.12,,97.41,3.544,2.25052,-1.44948,-0.156,3.7,10.3219
ICPP123-260,Whitaker2007,Piston Cylinder,6.8,0.5,1160,gl-ol-cp-pl,45.38,3.24,14.03,13.85,0.22,5.35,9.48,3.2,1.07,0.59,0.17,,96.58,2.504,1.58232,-2.68768,-1.766,4.27,12.5808
ICPP123-260,Whitaker2007,Piston Cylinder,6.8,0.5,1140,gl-ol-cp-pl,44.48,5.66,12.9,14.96,0.26,4.95,9.11,2.82,1.56,1.19,0.37,,98.26,1.784,1.11972,-3.26028,-2.596,4.38,5.1153
ICPP123-260,Whitaker2007,Piston Cylinder,4.3,0.5,1180,gl-ol-cp-pl,47.66,2.75,14.07,12.5,0.22,6,10.68,2.89,0.78,0.46,0.11,,98.12,4.328,2.75424,-0.91576,0.658,3.67,7.1119
ICPP123-260,Whitaker2007,Piston Cylinder,4.3,0.5,1160,gl-ol-cp-pl,46.18,3.36,13.8,13.02,0.2,5.23,9.91,3.05,1.04,0.67,0.16,,96.62,3.144,1.99352,-2.09648,-0.946,4.09,7.5817
ICPP123-260,Whitaker2007,Piston Cylinder,4.3,0.5,1140,gl-ol-cp-pl,45.99,4.33,13.34,13.34,0.2,4.72,9.25,3.03,1.37,0.96,0.24,,96.77,2.992,1.89586,-2.50414,-1.408,4.4,4.3821
ICPP123-260,Whitaker2007,Piston Cylinder,2.8,0.5,1160,gl-ol-cp-pl,47.79,2.85,13.95,12.55,0.17,5.73,10.72,3.07,0.88,0.52,0.11,,98.34,4.432,2.82106,-1.12894,0.482,3.95,5.5008
ICPP123-260,Whitaker2007,Piston Cylinder,2.8,0.5,1140,gl-ol-cp-pl,47.35,3.42,13.37,13.41,0.22,5.18,10.15,3.12,1.05,0.74,0.16,,98.17,4.08,2.5949,-1.5751,-0.09,4.17,4.7465
ICPP123-260,Whitaker2007,Piston Cylinder,2.8,0.5,1120,gl-ol-cp-pl,48.01,4.17,13.25,13.39,0.23,4.81,9.57,3.47,1.42,0.86,0.26,,99.44,4.608,2.93414,-1.95586,-0.282,4.89,1.695
ICPP123-260,Whitaker2007,1atm_furnace,0.001,0.00001,1150,gl-ol-cp-pl-sp,48.1,2.82,12.78,12.44,0.2,6.25,11.2,2.44,0.74,0.47,,,97.44,4.68,2.9804,-0.1996,1.5,3.18,4.0386
ICPP123-260,Whitaker2008,Piston Cylinder,4.3,0.5,1180,gl-ol-cp-pl,48.05,2.09,14.89,10.8,0.2,6.83,11.56,2.6,0.58,0.36,0.5,,98.46,4.64,2.9547,-0.2253,1.46,3.18,5.0357
ICPP123-260,Whitaker2008,Piston Cylinder,4.3,0.5,1160,gl-ol-cp-pl,47.17,2.4,14.51,11.41,0.25,6.15,10.78,2.79,0.67,0.39,0.6,,97.12,3.936,2.50238,-0.95762,0.476,3.46,11.1679
ICPP123-260,Whitaker2008,Piston Cylinder,4.3,0.5,1140,gl-ol-cp-pl,46.39,2.67,14.38,14.38,0.21,5.55,9.81,3.01,0.85,0.63,0.8,,98.68,3.312,2.10146,-1.75854,-0.548,3.86,9.6366
ICPP123-260,Whitaker2008,Piston Cylinder,4.3,0.5,1120,gl-ol-cp-pl,47,3.17,14.21,14.21,0.16,4.88,8.73,3.04,1,0.56,1,,97.96,3.8,2.415,-1.625,-0.24,4.04,7.2922
ICPP123-260,Whitaker2008,Piston Cylinder,4.3,0.5,1100,gl-ol-cp-pl,47.73,4.42,14.01,14.01,0.21,4.12,9.08,3.15,1.42,0.86,1.8,,100.81,4.384,2.79022,-1.77978,-0.186,4.57,-0.7923
R6a,Feig2006,IHPV,2.018,0.02,1160,gl-ol-cp-pl,52.06,0.48,16.83,5.88,0.14,7.14,11.42,3.57,0.06,,0.9,,99.88,7.848,5.01584,1.38584,4.218,3.63,-0.8764
R6a,Feig2006,IHPV,1.015,0.02,1160,gl-ol-cp-pl-sp,52.79,0.42,17.38,5.56,0.14,7.73,12.2,3.3,0.05,,1,,99.27,8.432,5.39106,2.04106,5.082,3.35,-1.6505
R6a,Feig2006,IHPV,1.015,0.02,1160,gl-ol-cp-pl-sp,53.98,0.47,17.11,5.23,0.15,7.57,11.73,3.35,0.06,,0.8,,99.65,9.384,6.00272,2.59272,5.974,3.41,-0.2265
R6a,Feig2006,IHPV,1.04,0.02,1140,gl-ol-cp-pl,52.74,0.62,16.06,7.86,0.18,6.43,10.75,3.76,0.07,,1.1,,98.47,8.392,5.36536,1.53536,4.562,3.83,-0.8213
R6a,Feig2006,IHPV,1.04,0.02,1140,gl-ol-cp-pl,53.06,0.65,16.04,7.83,0.12,6.43,10.91,3.82,0.07,,1.3,,98.93,8.648,5.52984,1.63984,4.758,3.89,5.3908
R6a,Feig2006,IHPV,5.01,0.02,1160,gl-ol-cp-pl,52.7,0.81,17.46,8.52,0.2,6.29,9.24,3.92,0.09,,1.3,,99.23,8.36,5.3448,1.3348,4.35,4.01,3.7698
AH6,Husen2016,IHPV,1.02,0.02,1150,gl-ol-cp-pl,47.43,1.67,14.21,14.29,0.28,5.6,13.25,3.01,0.26,0,0.05,0.06,100.11,4.144,2.63602,-0.63398,0.874,3.27,2.3621
AH6,Husen2016,IHPV,1.03,0.02,1175,gl-ol-cp-pl,48.23,1.16,15.29,11.44,0.2,7.15,13.91,2.44,0.18,0,0.05,0.06,100.11,4.784,3.04722,0.42722,2.164,2.62,9.601
AH6,Husen2016,IHPV,2.02,0.02,1150,gl-ol-cp-pl,45.73,1.87,13.21,16.66,0.33,6.17,12.33,3.34,0.35,0,0.07,0.11,100.17,2.784,1.76222,-1.92778,-0.906,3.69,2.911
AH6,Husen2016,IHPV,2.03,0.02,1175,gl-ol-cp-pl,48.33,1.22,15.21,11.4,0.18,7.49,13.54,2.5,0.14,0,0.08,0.05,100.14,4.864,3.09862,0.45862,2.224,2.64,1.7669
AH6,Husen2016,IHPV,2.02,0.02,1200,gl-ol-cp-pl,48.94,1.03,15.63,10.37,0.23,7.81,14.04,2.64,0.12,0,0.07,0.07,100.95,5.352,3.41216,0.65216,2.592,2.76,10.2878
AH6,Husen2016,IHPV,4.02,0.02,1175,gl-ol-cp-pl,46.18,1.63,15.42,14.34,0.25,6.32,12.25,3.38,0.22,0,0.06,0.04,100.09,3.144,1.99352,-1.60648,-0.456,3.6,6.0649
